article,series,series-id,episode,language,category,shop-id,web,data-sets,id-sets,id-sets-confidence,auth-sets
11000202,Disney,,Encanto,en-us,Tonie,7988035354775,,1,0,0,0
11000205,Disney,disney,Encanto,en-gb,audio-play-songs,fe6b6a25-404f-42fd-9895-45b40582701c,https://tonies.com/en-gb/tonies/disney/encanto/,1,0,0,0
11000212,Favorite Myths,,Egyptian Mythology,en-us,Tonie,8041065250967,,1,0,0,0
11000214,The Velveteen Rabbit,,,en-us,Tonie,8072085471383,,1,0,0,0
11000215,Favorite Myths,,Greek Mythology,en-us,Tonie,8041065513111,,1,0,0,0
11000217,Calm x tonies®,,Cap'n Dreambeard,en-us,Tonie,7926749724823,,1,0,0,0
11000218,Conservation Crew,,Nina the Red Panda,en-us,Tonie,8008143700119,,1,0,0,0
11000219,Conservation Crew,,Bobby the Sea Turtle,en-us,Tonie,7984585965719,,1,0,0,0
11000220,Miffy,,,en-us,Tonie,7940552360087,,1,0,0,0
11000222,Octonauts,,Kwazii,en-us,Tonie,8031614369943,,1,0,0,0
11000224,Paw Patrol,paw-patrol,Rocky,en-gb,audio-play,4974cfd8-9943-41b0-bb38-0f8f30cfead3,https://tonies.com/en-gb/tonies/paw-patrol/rocky/,1,0,0,0
11000244,Tiny Chef,,,en-us,Tonie,8085915074711,,1,0,0,0
11000245,Dino Ranch,,,en-us,Tonie,8057958105239,,1,0,0,0
11000247,PAW Patrol,paw-patrol,Die Hundeschau,de-de,audio-play,d8593db8-ad2a-49e9-9d12-b10d5c3e18f9,https://tonies.com/de-de/tonies/paw-patrol/die-hundeschau/,1,1,0,0
11000249,Disney,disney,Tiggers großes Abenteuer,de-de,audio-play,af4b11b7-0713-4f58-b1b5-25e134092b6b,https://tonies.com/de-de/tonies/disney/disney-tigger-tiggers-groes-abenteuer/,1,0,0,0
11000251,Lichterkinder,lichterkinder,Laternen- und Herbstlieder,de-de,music,74ecac51-38cc-450c-a405-166b68560670,https://tonies.com/de-de/tonies/lichterkinder/laternen-und-herbstlieder/,1,0,0,0
11000266,PAW Patrol,,Tracker,en-us,Tonie,8081283317911,,1,0,0,0
11000279,Tabaluga,tabaluga,Drachen weinen nicht & Mondsüchtig,de-de,audio-play-songs,d63d2e6c-3839-4d11-87b1-78e5de9f15ee,https://tonies.com/de-de/tonies/tabaluga/drachen-weinen-nicht-mondschtig/,1,1,1,1
11000290,Sing Kinderlieder,sing-kinderlieder,Bagger Mats & seine Freunde: Die schönsten Fahrzeuglieder,de-de,music,b0b62e23-f0d7-46ff-ba88-3f52c59513d2,https://tonies.com/de-de/tonies/sing-kinderlieder/bagger-mats-seine-freunde-die-schonsten-fahrzeuglieder/,1,0,0,0
11000291,Leos Tag,leos-tag,"Windel, Töpfchen, Klo - das geht so!",de-de,audio-play-songs,d8665bc7-22e4-4247-8b43-8db25dbf15b5,https://tonies.com/de-de/tonies/leos-tag/windel-topfchen-klo-das-geht-so/,1,0,0,0
11000292,Disney,disney,Encanto,de-de,audio-play,4f891311-7cbc-4d7b-a5ef-e6b1f4c5d14b,https://tonies.com/de-de/tonies/disney/encanto/,1,1,1,1
11000293,Contes Du Monde,contes-du-monde,Corée,fr-fr,audio-book,4259ea21-46c9-4c18-98cd-29d453db5908,https://tonies.com/fr-fr/tonies/contes-du-monde/coree/,1,0,0,0
11000296,Petit Malabar,petit-malabar,Science+Fiction=Aventure,fr-fr,audio-play,ec75815f-d034-4566-90b5-8e3ac34c2be1,https://tonies.com/fr-fr/tonies/petit-malabar/science-fiction-aventure/,1,0,0,0
11000297,Oggy Oggy,oggy-oggy,"1, 2, 3, Prêts ? Partez !",fr-fr,audio-play,cd43f1f7-1d30-4d25-b111-774972316fcf,https://tonies.com/fr-fr/tonies/oggy-oggy/1-2-3-prets-partez/,1,0,0,0
11000299,Gigantosaurus,gigantosaurus,Rocky,fr-fr,audio-play,a2a4af44-431d-4c36-849f-c71235adbc0c,https://tonies.com/fr-fr/tonies/gigantosaurus/rocky-2/,1,0,0,0
11000300,Gigantosaurus,gigantosaurus,Tiny,fr-fr,audio-play,8012c414-32d0-4123-b434-152503caeb33,https://tonies.com/fr-fr/tonies/gigantosaurus/tiny/,1,0,0,0
11000301,Tara Duncan,tara-duncan,Que Ta Magie Illumine !,fr-fr,audio-play,ee1e39e5-21ad-439a-81fa-fa47bb7dad4d,https://tonies.com/fr-fr/tonies/tara-duncan/que-ta-magie-illumine/,1,0,0,0
11000303,Alix Pix,alix-pix-1,Du Rififi Au Royaume Des Contes,fr-fr,audio-play,06c4f1e7-205a-48d9-92e6-8f5809842c7e,https://tonies.com/fr-fr/tonies/alix-pix-1/du-rififi-au-royaume-des-contes/,1,0,0,0
11000304,Le Journal De Gurty,le-journal-de-gurty,Vacances En Provence,fr-fr,audio-book,47739710-4cb9-438b-82fb-2785da31123e,https://tonies.com/fr-fr/tonies/le-journal-de-gurty/vacances-en-provence/,1,0,0,0
11000307,Les As De La Jungle,les-as-de-la-jungle,Miguel,fr-fr,audio-play,25fe1c6c-657f-4573-9621-e9f3a1fbbb3a,https://tonies.com/fr-fr/tonies/les-as-de-la-jungle/miguel/,1,0,0,0
11000312,Ernest & Célestine,ernest-celestine,Mon Ami Ernest,fr-fr,audio-play,c609908f-1e60-499f-ae3d-370ff6b508a4,https://tonies.com/fr-fr/tonies/ernest-celestine/mon-ami-ernest/,1,0,0,0
11000313,Ernest & Célestine,ernest-celestine,Mon Amie Célestine,fr-fr,audio-play,44b99a2d-435f-455d-9a16-d839a4408f3b,https://tonies.com/fr-fr/tonies/ernest-celestine/mon-amie-celestine/,1,0,0,0
11000339,Mumfie,mumfie,Histoires Douces Pour Rêver,fr-fr,audio-play,81bb996d-d247-4af6-88e3-df90204f628b,https://tonies.com/fr-fr/tonies/mumfie/histoires-douces-pour-rever/,1,0,0,0
11000342,La Pat' Patrouille,la-pat-patrouille,Rocky,fr-fr,audio-play,3371cd5e-4b84-4a37-a9b9-f84a1871091a,https://tonies.com/fr-fr/tonies/la-pat-patrouille/rocky/,1,0,0,0
11000349,Calendrier De L'Avent,calendrier-de-l-avent,Le Petit Renne Qui Rêvait D'Avoir Des Ailes,fr-fr,audio-play,ec6028d4-e0d4-4573-b61d-d9e47fe5d184,https://tonies.com/fr-fr/tonies/calendrier-de-l-avent/le-petit-renne-qui-revait-d-avoir-des-ailes/,1,0,0,0
11000358,MARVEL Spidey & His Amazing Friends,,Ghost-Spider,en-us,Tonie,8072395915415,,1,0,0,0
11000359,MARVEL Spidey & His Amazing Friends,,Spin,en-us,Tonie,8072395817111,,1,0,0,0
11000360,Octonauts,octonauts,Peso,en-gb,audio-play-songs,9d3c57c1-4b23-4ef7-b78b-a02fabd6ed89,https://tonies.com/en-gb/tonies/octonauts/peso/,1,0,0,0
11000399,Spookley the Square Pumpkin,,,en-us,Tonie,8057951355031,,1,0,0,0
11000401,Marvel,marvel,Spidey & His Amazing Friends: Spin (Miles Morales),en-gb,audio-play-songs,60dc443b-7510-490e-ba6d-dee7a8de568b,https://tonies.com/en-gb/tonies/marvel/spidey-friends-spin-miles-morales/,1,0,0,0
11000402,Marvel,marvel,Spidey & His Amazing Friends: Ghost-Spider,en-gb,audio-play-songs,a92a2417-8fdf-49d2-bf58-7a7e4614d18c,https://tonies.com/en-gb/tonies/marvel/spidey-his-amazing-friends-ghost-spider/,1,0,0,0
11000404,Calm,calm,Cap'n Dreambeard,en-gb,audio-play,3af988dd-2f5c-4eb5-81ee-8fdcce139cd4,https://tonies.com/en-gb/tonies/calm/calm-capn-dreambeard/,1,0,0,0
11000410,Favourite Children's Songs,favourite-children-s-songs,Christmas Songs and Carols (relaunch),en-gb,music,459107f2-ef84-4527-afac-e60249d87fe6,https://tonies.com/en-gb/tonies/favourite-children-s-songs/christmas-songs-and-carols-relaunch/,1,0,0,0
